baseline,shape,impl,size,gibps
portable,ascii,smoothutf8_slack,8388608,19.70863
portable,ascii,smoothutf8_slackbuf,8388608,19.80405
portable,ascii,smoothutf8,16777216,19.70515
portable,ascii,simdutf8,16777216,22.89344
portable,ascii,std_from_utf8,16777216,19.59567
portable,ascii,smoothutf8_slack,16777216,19.65186
portable,ascii,smoothutf8_slackbuf,16777216,19.64939
portable,ascii,smoothutf8,33554432,19.65285
portable,ascii,simdutf8,33554432,22.89210
portable,ascii,std_from_utf8,33554432,19.59616
portable,ascii,smoothutf8_slack,33554432,19.80606
portable,ascii,smoothutf8_slackbuf,33554432,19.70738
portable,ascii,smoothutf8,67108864,19.05314
portable,ascii,simdutf8,67108864,22.70168
portable,ascii,std_from_utf8,67108864,18.94743
portable,ascii,smoothutf8_slack,67108864,19.14594
portable,ascii,smoothutf8_slackbuf,67108864,19.05836
portable,ascii,smoothutf8,134217728,11.42178
portable,ascii,simdutf8,134217728,17.17222
portable,ascii,std_from_utf8,134217728,11.19069
portable,ascii,smoothutf8_slack,134217728,11.34507
portable,ascii,smoothutf8_slackbuf,134217728,11.38848
portable,ascii,smoothutf8,268435456,8.99410
portable,ascii,simdutf8,268435456,12.67491
portable,ascii,std_from_utf8,268435456,8.62813
portable,ascii,smoothutf8_slack,268435456,8.71961
portable,ascii,smoothutf8_slackbuf,268435456,8.72905
portable,ascii,smoothutf8,536870912,8.26761
portable,ascii,simdutf8,536870912,11.45318
portable,ascii,std_from_utf8,536870912,8.10649
portable,ascii,smoothutf8_slack,536870912,8.10373
portable,ascii,smoothutf8_slackbuf,536870912,8.08277
simd_avx2,ascii,smoothutf8,1,0.50271
simd_avx2,ascii,simdutf8,1,0.23082
simd_avx2,ascii,std_from_utf8,1,0.23463
simd_avx2,ascii,smoothutf8_slack,1,0.40320
simd_avx2,ascii,smoothutf8_slackbuf,1,0.35405
simd_avx2,ascii,smoothutf8,2,1.03890
simd_avx2,ascii,simdutf8,2,0.40976
simd_avx2,ascii,std_from_utf8,2,0.39813
simd_avx2,ascii,smoothutf8_slack,2,0.80241
simd_avx2,ascii,smoothutf8_slackbuf,2,0.70820
simd_avx2,ascii,smoothutf8,4,2.02187
simd_avx2,ascii,simdutf8,4,0.50364
simd_avx2,ascii,std_from_utf8,4,0.52648
simd_avx2,ascii,smoothutf8_slack,4,1.60864
simd_avx2,ascii,smoothutf8_slackbuf,4,1.41426
simd_avx2,ascii,smoothutf8,8,2.83217
simd_avx2,ascii,simdutf8,8,0.92949
simd_avx2,ascii,std_from_utf8,8,0.90720
simd_avx2,ascii,smoothutf8_slack,8,1.62780
simd_avx2,ascii,smoothutf8_slackbuf,8,1.46268
simd_avx2,ascii,smoothutf8,16,5.27363
simd_avx2,ascii,simdutf8,16,3.21471
simd_avx2,ascii,std_from_utf8,16,2.89551
simd_avx2,ascii,smoothutf8_slack,16,3.19473
simd_avx2,ascii,smoothutf8_slackbuf,16,2.93856
simd_avx2,ascii,smoothutf8,32,8.63535
simd_avx2,ascii,simdutf8,32,4.63539
simd_avx2,ascii,std_from_utf8,32,4.40296
simd_avx2,ascii,smoothutf8_slack,32,7.04763
simd_avx2,ascii,smoothutf8_slackbuf,32,6.61686
simd_avx2,ascii,smoothutf8,64,15.21070
simd_avx2,ascii,simdutf8,64,17.11105
simd_avx2,ascii,std_from_utf8,64,5.89911
simd_avx2,ascii,smoothutf8_slack,64,13.39822
simd_avx2,ascii,smoothutf8_slackbuf,64,11.80898
simd_avx2,ascii,smoothutf8,128,24.69431
simd_avx2,ascii,simdutf8,128,24.76922
simd_avx2,ascii,std_from_utf8,128,11.28876
simd_avx2,ascii,smoothutf8_slack,128,22.80863
simd_avx2,ascii,smoothutf8_slackbuf,128,21.12891
simd_avx2,ascii,smoothutf8,256,31.87840
simd_avx2,ascii,simdutf8,256,32.02614
simd_avx2,ascii,std_from_utf8,256,19.34902
simd_avx2,ascii,smoothutf8_slack,256,30.18759
simd_avx2,ascii,smoothutf8_slackbuf,256,28.66986
simd_avx2,ascii,smoothutf8,512,43.61050
simd_avx2,ascii,simdutf8,512,43.66241
